
2024/05/23 (19:53:25) | ===> btop++ v.1.2.13
2024/05/23 (19:53:25) | INFO: Logger set to INFO
2024/05/23 (19:53:25) | INFO: Logger set to DEBUG
2024/05/23 (19:53:27) | INFO: Logger set to DEBUG
2024/05/23 (19:54:16) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/gruvbox_dark_v2.theme
2024/05/23 (19:54:18) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/dracula.theme
2024/05/23 (19:54:18) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/nord.theme
2024/05/23 (19:54:20) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/dracula.theme
2024/05/23 (19:54:21) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/nord.theme
2024/05/23 (19:54:21) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/greyscale.theme
2024/05/23 (19:54:21) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/adapta.theme
2024/05/23 (19:54:22) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/everforest-dark-hard.theme
2024/05/23 (19:54:22) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/solarized_light.theme
2024/05/23 (19:54:23) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/tokyo-night.theme
2024/05/23 (19:54:23) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/onedark.theme
2024/05/23 (19:54:24) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/ayu.theme
2024/05/23 (19:54:24) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/flat-remix-light.theme
2024/05/23 (19:54:25) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/flat-remix.theme
2024/05/23 (19:54:25) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/HotPurpleTrafficLight.theme
2024/05/23 (19:54:26) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/gruvbox_material_dark.theme
2024/05/23 (19:54:27) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/tomorrow-night.theme
2024/05/23 (19:54:27) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/matcha-dark-sea.theme
2024/05/23 (19:54:28) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/elementarish.theme
2024/05/23 (19:54:30) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/solarized_dark.theme
2024/05/23 (19:54:31) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/paper.theme
2024/05/23 (19:54:33) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/dusklight.theme
2024/05/23 (19:54:34) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/monokai.theme
2024/05/23 (19:54:34) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/whiteout.theme
2024/05/23 (19:54:38) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/monokai.theme
2024/05/23 (19:54:38) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/whiteout.theme
2024/05/23 (19:54:39) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/kyli0x.theme
2024/05/23 (19:54:40) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/tokyo-storm.theme
2024/05/23 (19:54:40) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/night-owl.theme
2024/05/23 (19:54:41) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/gruvbox_dark.theme
2024/05/23 (19:54:41) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/gruvbox_dark_v2.theme
2024/05/23 (19:54:42) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/dracula.theme
2024/05/23 (19:54:42) | DEBUG: Loading theme file: /nix/store/p7aswwmyswcdhk25bjwrad1phqxzkg6n-btop-1.2.13/share/btop/themes/nord.theme
